牛	niú	cow, ox, bull; KangXi radical93	牛奶 牛仔褲 牛排	niúnǎi niúzǎikù niúpái
角	jiǎo	horn; angle, corner; point	角度 角色 角落	jiǎodù juésè jiǎoluò
解	jiě	loosen, unfasten, untie; explain	解釋 了解 瞭解	jiěshì liǎojiě liǎojiě
絲	sī	silk; fine thread; wire; strings	絲毫	sīháo
彎	wān	bend, curve	彎腰 彎曲	wānyāo wānqū
灣	wān	a bay, cove, inlet, bend of stream	台灣	Táiwān
等	děng	rank, grade; wait; equal; 'etc.'	等等 等待 平等	děngděng děngdài píngděng
拉	lā	pull, drag; seize, hold; lengthen	拉肚子 拉票 沙拉	lādùzi lāpiào shālā
啦	la	final particle of assertion		
否	fǒu	not, no, negative; final particle	否則 否定 否認	fǒuzé fǒudìng fǒurèn
部	bù	part, division, section	南部 西部 北部	nánbù xībù běibù
泉	quán	spring, fountain; wealth, money	泉源 溫泉	quányuán Wēnquán
原	yuán	source, origin, beginning	原來 草原 平原	yuánlái cǎoyuán píngyuán
美	měi	beautiful, pretty; pleasing	美國 美麗 美術	Měiguó měilì měishù
先	xiān	first, former, previous	先生 祖先 領先	Xiānsheng zǔxiān lǐngxiān
通	tōng	pass through, common, communicate	通知 交通 溝通	tōngzhī jiāotōng gōutōng
官	guān	official, public servant	官方 官員 器官	guānfāng guānyuán qìguān
管	guǎn	pipe, tube, duct; woodwind music	管理 不管 儘管	guǎnlǐ bùguǎn jǐnguǎn
亡	wáng	death, destroyed; lose, perish	滅亡 死亡 傷亡	mièwáng sǐwáng shāngwáng
網	wǎng	net, web; network	網球 上網 網站	wǎngqiú shàngwǎng wǎngzhàn
品	pǐn	article, product, commodity	產品 毒品 化妝品	chǎnpǐn dúpǐn huàzhuāngpǐn
區	qū	area, district, region, ward; surname	地區 郊區 山區	dìqū jiāoqū shānqū
期	qī	period of time; date; time limit	星期 星期天 星期日	xīngqī Xīngqītiān Xīngqīrì
今	jīn	now, today, modern era	今年 今天 今後	jīnnián jīntiān jīnhòu
金	jīn	gold; metals in general; money	獎學金 金子 押金	jiǎngxuéjīn Jīnzǐ yājīn
昔	xī	formerly; ancient; in beginning	昔日	xīrì
錯	cuò	error, blunder, mistake, wrong	不錯 錯誤 差錯	bùcuò cuòwù chācuò
樂	lè	happy, glad; enjoyable; music	快樂 音樂 樂器	kuàilè yīnyuè yuèqì
找	zhǎo	search, seek, look for; find	尋找 找錢 找尋	xúnzhǎo zhǎoqián zhǎoxún
書	shū	book, letter, document; writings	圖書館 讀書 教書	túshūguǎn dúshū jiāoshū
襄	xiāng	aid, help, assist; undress		
讓	ràng	allow, permit, yield, concede	讓步	ràngbù
阿	ā	prefix for people's names; used in transliteration	阿姨	āyí
啊	a	exclamatory particle		
丌	jī	table		
疾	jí	illness, disease, sickness; to hate	疾病	jíbìng
廿	niàn	twenty, twentieth		
共	gòng	together with, all, total; to share	公共汽車 一共 公共	gōnggòngqìchē yīgòng gōnggòng
選	xuǎn	choose, select; elect; election	選舉 選擇 當選	xuǎnjǔ xuǎnzé dāngxuǎn
較	jiào	compare; comparatively, more	比較 計較 較量	bǐjiào jìjiào jiàoliàng
母	mǔ	mother; female elders; female	母親 父母 祖母	mǔqīn fùmǔ zǔmǔ
數	shù	number; several; count; fate	數學 大多數 人數	shùxué dàduōshù rénshù
表	biǎo	show, express, manifest, display	表演 表達 表面	biǎoyǎn biǎodá biǎomiàn
內	nèi	inside, interior; domestic	內衣 國內 內容	nèiyī guónèi nèiróng
場	chǎng	open space, field, market	市場 飛機場 機場	shìchǎng fēijīchǎng jīchǎng
從	cóng	from, by, since, whence, through	從前 從不 從來	cóngqián cóngbù cónglái
快	kuài	rapid, quick, speedy, fast; soon	快樂 愉快 涼快	kuàilè yúkuài liángkuai
歡	huān	happy, pleased, glad; joy; to enjoy	喜歡 歡迎 歡呼	xǐhuan huānyíng huānhū
示	shì	show, manifest; demonstrate	表示 示威 顯示	biǎoshì shìwēi xiǎnshì
社	shè	god of the soil and altars to him; group of families; company, society	報社 旅行社 社會	bàoshè lǚxíngshè shèhuì
臣	chén	minister, statesman, official		
望	wàng	to look at, look forward; to hope, expect	希望 渴望 盼望	xīwàng kěwàng pànwàng
怎	zěn	what? why? how?	怎麼樣 怎麼 怎麼了	zěnmeyàng zěnme zěnmele
刃	rèn	edged tool, cutlery, knife edge		
忍	rěn	endure, bear, suffer; forbear	忍耐 忍不住 忍受	rěnnài rěnbuzhù rěnshòu
認	rèn	recognize, know, understand	認識 認真 認為	rènshi rènzhēn rènwéi
告	gào	tell, announce, inform; accuse	報告 告訴 廣告	bàogào gàosù guǎnggào
丙	bǐng	third; 3rd heavenly stem		
更	gèng	more, still further, much more	變更 更加 更動	biàngēng gèngjiā gēngdòng
考	kǎo	examine, test; investigate	考試 參考 思考	kǎoshì cānkǎo sīkǎo
度	dù	degree, system; manner; to consider	溫度 程度 角度	wēndù chéngdù jiǎodù
夫	fū	man, male adult, husband; those	夫婦 功夫 大夫	fūfù gōngfu dàfū
難	nán	difficult, arduous, hard; unable	難過 困難 難怪	nánguò kùnnan nánguài
反	fǎn	reverse, opposite, contrary, anti	反而 反應 相反	fǎnér fǎnyìng xiāngfǎn
版	bǎn	printing blocks; edition	出版	chūbǎn
頭	tóu	head; top; chief, first; boss	頭髮 手指頭 鐘頭	tóufa shǒuzhǐtou zhōngtóu
喜	xǐ	like, love, enjoy; joyful thing	喜歡 恭喜 喜愛	xǐhuan gōngxǐ xǐài
午	wǔ	noon; 7th terrestrial branch	上午 中午 下午	shàngwǔ zhōngwǔ xiàwǔ
許	xǔ	allow, permit; promise; betroth	許多 也許 或許	xǔduō yěxǔ huòxǔ
光	guāng	light, brilliant, shine; only	燈光 眼光 陽光	dēngguāng yǎnguāng yángguāng
買	mǎi	buy, purchase; bribe, persuade	購買 買單 買賣	gòumǎi mǎidān mǎimài
算	suàn	count, calculate, figure; plan	打算 就算 算了	dǎsuàn jiùsuàn suànle
右	yòu	right; west; right-wing	右邊 左右 座右銘	yòubian zuǒyòu zuòyòumíng
若	ruò	if, supposing, assuming; similar	假若 若干 倘若	jiǎruò ruògān tǎngruò
育	yù	produce, give birth to; educate	體育 教育 發育	tǐyù jiàoyù fāyù
充	chōng	fill, be full, supply	充實 補充 充分	chōngshí bǔchōng chōngfèn
統	tǒng	govern, command, control; unite	傳統 系統 總統	chuántǒng xìtǒng zǒngtǒng
記	jì	record; keep in mind, remember	記得 記者 記錄	jìde jìzhě jìlù
代	dài	replace, replacement (of person or generation); era, generation	代表 代替 古代	dàibiǎo dàitì gǔdài
七	qī	seven		
虎	hǔ	tiger; brave, fierce; surname	老虎 馬虎	lǎohǔ mǎhu
號	hào	mark, sign; symbol; number	號碼 掛號 符號	hàomǎ guàhào fúhào
處	chù	place, locale; department	處理 到處 好處	chǔlǐ dàochù hǎochu
元	yuán	first; dollar; origin; head	公元 元旦 多元	gōngyuán Yuándàn duōyuán
完	wán	complete, finish, settle; whole	完成 完全 完畢	wánchéng wánquán wánbì
接	jiē	receive; continue; catch; connect	接觸 接受 接著	jiēchù jiēshòu jiēzhe
計	jì	plan, plot; strategem; scheme	計程車 計畫 計劃	jìchéngchē jìhuà jìhuà
字	zì	letter, character, word	名字 十字路口 字典	míngzi shízìlùkǒu zìdiǎn
師	shī	teacher, master, specialist; multitude, troops	老師 教師 廚師	lǎoshī jiàoshī chúshī
並	bìng	equal to; side by side; also, what is more; both	並且 並列 並重	bìngqiě bìngliè bìngzhòng
政	zhèng	government, political affairs	政治 政策 政黨	zhèngzhì zhèngcè zhèngdǎng
玩	wán	play with, joke, enjoy	吃喝玩樂 開玩笑 玩具	chīhēwánlè kāiwánxiào wánjù
張	zhāng	stretch, extend, expand; sheet	緊張 誇張 紙張	jǐnzhāng kuāzhāng zhǐzhāng
男	nán	male, man; son; baron; surname	男生 男人 男性	nánshēng nánrén nánxìng
誰	shéi	who? whom? whose? anyone?		
每	měi	every, each	每每	měiměi
吉	jí	lucky, propitious, good	吉他 吉利 吉祥	jítā Jílì jíxiáng
結	jié	knot, tie; join, connect	結婚 結束 結果	jiéhūn jiéshù jiēguǒ
晶	jīng	crystal; clear, bright; radiant	水晶	shuǐjīng
星	xīng	a star, planet; any point of light	星期 星期天 星期日	xīngqī Xīngqītiān Xīngqīrì
非	fēi	not, negative, non-; oppose	非常 除非 非法	fēicháng chúfēi fēifǎ
建	jiàn	build, establish, erect, found	建立 建設 建議	jiànlì jiànshè jiànyì
改	gǎi	change, alter; improve, remodel	改變 改進 改善	gǎibiàn gǎijìn gǎishàn
連	lián	join, connect; continuous; even	連續劇 一連 連接	liánxùjù yīlián liánjiē
放	fàng	put, release, free, liberate	放假 放心 開放	fàngjià fàngxīn kāifàng
哈	hā	sound of laughter		
活	huó	live, exist, survive; lively	生活 活動 活該	shēnghuó huódòng huógāi
于	yú	in, on, at; go to; surname		
石	shí	stone, rock, mineral; rad. 112	石頭 石油 鑽石	shítou shíyóu zuànshí
研	yán	grind, rub; study, research	研究 研究所 鑽研	yánjiū yánjiūsuǒ zuānyán
設	shè	build; establish; display; particle of hypothesis, supposing	建設 設備 設計	jiànshè shèbèi shèjì
陳	chén	exhibit, display; plead; surname	陳列	chénliè
幸	xìng	luck(ily), favor, fortunately	幸福 不幸 幸好	xìngfú bùxìng xìnghǎo
報	bào	report, tell, announce	報紙 報告 報名	bàozhǐ bàogào bàomíng
專	zhuān	monopolize, take sole possession	專心 專業 專家	zhuānxīn zhuānyè zhuānjiā
轉	zhuǎn	shift, move, turn	運轉 轉變 轉播	yùnzhuǎn zhuǎnbiàn zhuǎnbō
黨	dǎng	political party, gang, faction	政黨 黨派 黨員	zhèngdǎng dǎngpài dǎngyuán
旨	zhǐ	purpose, aim; excellent	主旨 宗旨	zhǔzhǐ zōngzhǐ
指	zhǐ	finger, toe; point, indicate	手指 手指頭 戒指	shǒuzhǐ shǒuzhǐtou jièzhi
變	biàn	change, transform, alter; rebel	變成 變更 變化	biànchéng biàngēng biànhuà
米	mǐ	hulled or husked uncooked rice	米飯 米粉 玉米	mǐfàn mǐfěn yùmǐ
氣	qì	air, gas, steam, vapor; spirit	天氣 冷氣 冷氣機	tiānqì lěngqì lěngqìjī
試	shì	test, try, experiment	考試 嘗試 筆試	kǎoshì chángshì bǐshì
布	bù	cotton cloth, textiles, linen	瀑布 宣布	pùbù xuānbù
希	xī	rare; hope, expect, strive for	希望	xīwàng
神	shén	spirit, god, supernatural being	精神 神話 神經	jīngshén shénhuà shénjīng
化	huà	change, convert, reform; -ize	文化 變化 化妝品	wénhuà biànhuà huàzhuāngpǐn
物	wù	thing, substance, creature	禮物 食物 動物	lǐwù shíwù dòngwù
任	rèn	trust to, rely on, appoint; to bear, duty, office; allow	任何 擔任 任務	rènhé dānrèn rènwu
單	dān	single, individual, only; lone	菜單 簡單 單純	càidān jiǎndān dānchún
世	shì	generation; world; era	世界 去世 過世	shìjiè qùshì guòshì
舟	zhōu	boat, ship; KangXi radical 137		
受	shòu	receive, accept, get; bear, stand	受傷 接受 感受	shòushāng jiēshòu gǎnshòu
近	jìn	near, close; approach; intimate	附近 最近 接近	fùjìn zuìjìn jiējìn
義	yì	right conduct, righteousness	意義 義務 道義	yìyì yìwù dàoyì
歹	dǎi	bad, vicious, depraved, wicked	歹徒	dǎitú
死	sǐ	die; dead; death	死亡 該死 生死	sǐwáng gāisǐ shēngsǐ
便	biàn	convenience, ease; expedient	便宜 方便 便條	biànyí fāngbiàn biàntiáo
戰	zhàn	war, fighting, battle	挑戰 戰爭 戰場	tiǎozhàn zhànzhēng zhànchǎng
穴	xué	cave, den, hole; KangXi radical 116	洞穴	dòngxué
空	kōng	empty, hollow, bare, deserted	空氣 有空 航空	kōngqì yǒukòng hángkōng
隊	duì	team, group; army unit	排隊 軍隊 部隊	páiduì jūnduì bùduì
跟	gēn	heel; to follow, accompany; with	跟進 跟前	gēnjìn gēnqián
谷	gǔ	valley, gorge, ravine	山谷 峽谷	shāngǔ xiágǔ
卻	què	still, but; decline; retreat		
北	běi	north; northern; northward	北部 北邊 北方	běibù běibiān běifāng
必	bì	surely, most certainly; must	必須 必要 不必	bìxū bìyào bùbì
未	wèi	not yet; 8th terrestrial branch	未來 未婚 未必	wèilái wèihūn wèibì
業	yè	profession, business, trade	作業 職業 畢業	zuòyè zhíyè bìyè
功	gōng	achievement, merit, good result	功課 成功 功夫	gōngkè Chénggōng gōngfu
寫	xiě	write; draw, sketch; compose	描寫 編寫 書寫	miáoxiě biānxiě shūxiě
景	jǐng	scenery, view; conditions	風景 背景 景色	fēngjǐng bèijǐng jǐngsè
影	yǐng	shadow; image, reflection; photograph	電影 電影院 影響	diànyǐng diànyǐngyuàn yǐngxiǎng
聲	shēng	sound, voice, noise; tone; music	聲音 大聲 聲調	shēngyīn dàshēng shēngdiào
平	píng	flat, level, even; peaceful	平常 平安 平等	píngcháng píngān píngděng
臺	tái	tower, lookout; stage, platform	櫃臺 舞臺	guìtái wǔtái
討	tǎo	to discuss; ask for, beg; demand; dun; marry	討論 討厭 探討	tǎolùn tǎoyàn tàntǎo
色	sè	color, tint, hue, shade; form, body; beauty, desire for beauty	顏色 黃色 白色	yánsè huángsè báisè
則	zé	rule, law, regulation; grades	否則 規則 原則	fǒuzé guīzé yuánzé
容	róng	looks, appearance; figure, form	容易 內容 形容	róngyì nèiróng xíngróng
檔	dàng	shelf; frame, crosspiece	檔案	dàngàn
妳	nǎi	you (female)		
市	shì	market, fair; city, town; trade	市場 城市 超級市場	shìchǎng chéngshì chāojíshìchǎng
利	lì	gains, advantage, profit, merit	福利 利益 利用	fúlì lìyì lìyòng
興	xìng	thrive, prosper, flourish	高興 興趣 感興趣	gāoxìng xìngqù gǎnxìngqù
弘	hóng	enlarge, expand; liberal, great		
強	qiáng	strong, powerful, energetic	加強 堅強 強盜	jiāqiáng jiānqiáng qiángdào
安	ān	peaceful, tranquil, quiet	安靜 安全 安定	ānjìng ānquán Andìng
央	yāng	center, conclude, run out; beg	中央 央求	zhōngyāng yāngqiú
特	tè	special, unique, distinguished	特別 獨特 特地	tèbié dútè tèdì
議	yì	consult, talk over, discuss	會議 建議 抗議	huìyì jiànyì kàngyì
辛	xīn	bitter; toilsome, laborious; 8th heavenly stem	辛苦 辛勤 辛酸	xīnkǔ xīnqín xīnsuān
辦	bàn	manage, do, handle; deal with	辦公室 辦法 怎麼辦	bàngōngshì bànfǎ zěnmebàn
賈	jiǎ	surname; merchant; buy, trade		
價	jià	price, value	價格 價錢 價值	jiàgé jiàqian jiàzhí
總	zǒng	collect; overall, altogether	總是 總而言之 總算	zǒngshì zǒngéryánzhī zǒngsuàn
傳	chuán	summon; propagate, transmit	傳真 傳統 傳播	chuánzhēn chuántǒng chuánbō
思	sī	think, consider, ponder; final particle	意思 不好意思 思考	yìsi bùhǎoyìsi sīkǎo
花	huā	flower; blossoms	花園 花心 開花	huāyuán huāxīn kāihuā
叫	jiào	cry, shout; hail, greet, call	叫喊 叫好	jiàohǎn jiàohǎo
呆	dāi	dull; dull-minded, simple, stupid		
保	bǎo	protect, safeguard, defend, care	保險 保護 保守	bǎoxiǎn bǎohù bǎoshǒu
份	fèn	portion, part; duty	成份 份兒 身份	chéngfèn fènr shēnfèn
九	jiǔ	nine		
究	jiū	examine, investigate	講究 研究 究竟	jiǎngjiu yánjiū jiūjìng
呵	hē	scold; laughing sound; yawn		
件	jiàn	numerary adjunct for article; matter	電子郵件 條件 文件	diànzǐyóujiàn tiáojiàn wénjiàn
決	jué	decide, determine, judge	決定 解決 堅決	juédìng jiějué jiānjué
組	zǔ	class; section, department	小組 組織 組裝	xiǎozǔ zǔzhī zǔzhuāng
級	jí	level, rank, class; grade	年級 超級市場 超級	niánjí chāojíshìchǎng chāojí
持	chí	sustain, support; hold, grasp	堅持 維持 保持	jiānchí wéichí bǎochí
夭	yāo	young, fresh-looking; die young		
笑	xiào	smile, laugh, giggle; snicker	開玩笑 微笑 笑話	kāiwánxiào wēixiào xiàohuà
投	tóu	throw, cast, fling, pitch; jump	投資 投票 投入	tóuzī tóupiào tóurù
哪	nǎ	which? where? how?	哪裡 哪兒 哪些	nǎlǐ nǎr nǎxiē
室	shì	room, home, house, chamber	辦公室 教室 臥室	bàngōngshì jiàoshì wòshì
屋	wū	house; room; building, shelter	房屋 屋子	fángwū wūzi
喔	ō	descriptive of crying or of crowing		
票	piào	slip of paper or bamboo; ticket	發票 郵票 鈔票	fāpiào yóupiào chāopiào
標	biāo	a mark, symbol, label, sign; standard	標準 標題 標誌	biāozhǔn biāotí biāozhì
流	liú	flow, circulate, drift; class	流行 交流 流汗	liúxíng jiāoliú liúhàn
支	zhī	disperse, pay; support; branch	支持 支出 支票	zhīchí zhīchū zhīpiào
獨	dú	alone, single, solitary, only	獨特 獨立 獨自	dútè dúlì dúzì
苗	miáo	sprouts; [reading] nationality	樹苗	shùmiáo
貓	māo	cat	熊貓	xióngmāo
卡	kǎ	card, punch card; calorie	卡片 信用卡 卡車	kǎpiàn xìnyòngkǎ kǎchē
需	xū	need, require, must	需要 需求	xūyào xūqiú
吾	wú	i, my, our; resist, impede		
語	yǔ	language, words; saying, expression	語言 華語 語法	yǔyán Huáyǔ yǔfǎ
海	hǎi	sea, ocean; maritime	海邊 海報 海灘	hǎibiān hǎibào hǎitān
線	xiàn	thread, line, wire; clue	電線 光線 界線	diànxiàn guāngxiàn jièxiàn
黃	huáng	yellow; surname	黃色 黃豆 黃昏	huángsè huángdòu huánghūn
參	cān	take part in, intervene; ginseng	參加 參觀 參考	cānjiā cānguān cānkǎo
般	bān	sort, manner, kind, category	一般 一般來說 一般而言	yībān yībānláishuō yībānéryán
令	lìng	command, order; 'commandant', magistrate; allow, cause	命令 法令 禁令	mìnglìng fǎlìng jìnlìng
命	mìng	life; destiny, fate, luck; an order, instruction	救命 革命 生命	jiùmìng gémìng shēngmìng
視	shì	look at, inspect, observe, see	電視 電視機 重視	diànshì diànshìjī zhòngshì
